id,subject,metric,games,mean,error,interval,verdict,seed,seats,question,command
ladder.head-to-head.cautious-over-sprinter,cautious vs sprinter,win rate margin,8010,-0.033159,0.004119,0.008072,separated (Holm),20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.counting-over-outs,counting vs outs,win rate margin,8010,-0.029064,0.004149,0.008131,separated (Holm),20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.counting-over-warden,counting vs warden,win rate margin,8010,0.050137,0.004095,0.008026,separated (Holm),20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.counting-over-opportunist,counting vs opportunist,win rate margin,8010,-0.020574,0.004141,0.008116,separated (Holm),20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.counting-over-angler,counting vs angler,win rate margin,8010,-0.028764,0.004149,0.008132,separated (Holm),20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.counting-over-sprinter,counting vs sprinter,win rate margin,8010,-0.034657,0.004132,0.008098,separated (Holm),20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.outs-over-warden,outs vs warden,win rate margin,8010,0.072809,0.004081,0.007998,separated (Holm),20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.outs-over-opportunist,outs vs opportunist,win rate margin,8010,-0.000599,0.004133,0.008100,inside the interval,20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.outs-over-angler,outs vs angler,win rate margin,8010,-0.005893,0.004141,0.008116,inside the interval,20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.outs-over-sprinter,outs vs sprinter,win rate margin,8010,-0.012285,0.004132,0.008099,separated (Holm),20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.warden-over-opportunist,warden vs opportunist,win rate margin,8010,-0.061523,0.004086,0.008008,separated (Holm),20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.warden-over-angler,warden vs angler,win rate margin,8010,-0.069413,0.004081,0.007999,separated (Holm),20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.warden-over-sprinter,warden vs sprinter,win rate margin,8010,-0.074207,0.004075,0.007988,separated (Holm),20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.opportunist-over-angler,opportunist vs angler,win rate margin,8010,-0.010287,0.004147,0.008129,raw only,20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.opportunist-over-sprinter,opportunist vs sprinter,win rate margin,8010,-0.015581,0.004140,0.008115,separated (Holm),20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.head-to-head.angler-over-sprinter,angler vs sprinter,win rate margin,8010,-0.010986,0.004135,0.008104,raw only,20260819,5,"Head to head at every seating in which both are at the table, how many points of win rate separate them?","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.random-over-simple.1-of-5,"random over simple, 1 of 5 row seats",win rate margin,1335,-0.250000,,,separated (raw),20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.random-over-simple.4-of-5,"random over simple, 4 of 5 row seats",win rate margin,1335,-0.994382,0.002289,0.004487,separated (raw),20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.random-over-greedy.1-of-5,"random over greedy, 1 of 5 row seats",win rate margin,1335,-0.250000,,,separated (raw),20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.random-over-greedy.4-of-5,"random over greedy, 4 of 5 row seats",win rate margin,1335,-0.994382,0.002289,0.004487,separated (raw),20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
ladder.composition.random-over-cautious.1-of-5,"random over cautious, 1 of 5 row seats",win rate margin,1335,-0.250000,,,separated (raw),20260819,5,"The head-to-head margin restricted to the games in which the row held this many of the seats — F1's composition split (BUILD-PLAN P48). Read across the two compositions of a pair: a margin flat across them is one player beating another; a margin that deepens as the row's own count rises is self-play compounding, which is what P31 left open for warden.","BurmesePoker.Sim -- tournament --strategies random,simple,greedy,cautious,counting,outs,warden,opportunist,angler,sprinter --seats 5 --games 8000 --seed 20260819"
